,customer_id,loyalty,shop_id,purchase_date,purchase_id,unique_items,total_items,mean_item_price,revenue,purchase_month
0,0,0,Shop 0,2016-12-01,536544,514,626,3.47,1598.86,2016-12
1,0,0,Shop 0,2016-12-01,536546,1,0,1.05,0.0,2016-12
2,0,0,Shop 0,2016-12-01,536547,1,0,1.27,0.0,2016-12
3,0,0,Shop 0,2016-12-01,536553,1,2,0.62,1.25,2016-12
4,0,0,Shop 0,2016-12-01,536555,2,0,1.58,0.0,2016-12
5,0,0,Shop 0,2016-12-01,536558,1,4,23.37,93.49,2016-12
6,0,0,Shop 0,2016-12-01,536565,2,0,5.28,0.0,2016-12
7,0,0,Shop 0,2016-12-01,536592,581,816,3.86,2143.9,2016-12
8,0,0,Shop 0,2016-12-01,536596,6,3,7.57,6.22,2016-12
9,0,0,Shop 0,2016-12-02,536640,11,0,4.7,0.0,2016-12
10,0,0,Shop 0,2016-12-02,536755,15,0,4.64,0.0,2016-12
11,0,0,Shop 0,2016-12-02,536756,19,4,5.04,4.64,2016-12
12,0,0,Shop 0,2016-12-02,536765,1,18,4.02,72.29,2016-12
13,0,0,Shop 0,2016-12-02,536780,4,0,4.41,0.0,2016-12
14,0,0,Shop 0,2016-12-02,536801,14,120,4.09,335.25,2016-12
15,0,0,Shop 0,2016-12-03,536862,80,69,5.56,304.73,2016-12
16,0,0,Shop 0,2016-12-03,536864,46,19,5.23,106.03,2016-12
17,0,0,Shop 0,2016-12-03,536865,138,177,4.82,667.75,2016-12
18,0,0,Shop 0,2016-12-03,536866,1,0,8.47,0.0,2016-12
19,0,0,Shop 0,2016-12-03,536876,577,981,3.52,2594.4,2016-12
20,0,0,Shop 0,2016-12-03,536920,9,39,1.79,65.71,2016-12
21,0,0,Shop 0,2016-12-03,536941,1,19,3.86,73.38,2016-12
22,0,0,Shop 0,2016-12-03,536942,1,14,6.2,86.83,2016-12
23,0,0,Shop 0,2016-12-03,536982,136,1166,3.98,3488.13,2016-12
24,0,0,Shop 0,2016-12-03,536991,8,24,1.31,30.51,2016-12
25,0,0,Shop 0,2016-12-03,537002,1,69,1.62,111.44,2016-12
26,0,0,Shop 0,2016-12-03,537003,1,-3,6.77,-20.32,2016-12
27,0,0,Shop 0,2016-12-03,537025,15,33,4.37,29.31,2016-12
28,0,0,Shop 0,2016-12-05,537220,1,0,4.36,0.0,2016-12
29,0,0,Shop 0,2016-12-06,537230,1,0,4.09,0.0,2016-12
30,0,0,Shop 0,2016-12-06,537237,587,878,3.61,2309.1,2016-12
31,0,0,Shop 0,2016-12-06,537240,560,1157,3.66,2769.03,2016-12
32,0,0,Shop 0,2016-12-06,537252,1,30,1.21,36.45,2016-12
33,0,0,Shop 0,2016-12-06,537253,23,154,3.28,432.52,2016-12
34,0,0,Shop 0,2016-12-06,537361,1,4,3.98,15.9,2016-12
35,0,0,Shop 0,2016-12-06,537411,3,1,3.28,2.34,2016-12
36,0,0,Shop 0,2016-12-06,537434,662,1074,3.62,2760.99,2016-12
37,0,0,Shop 0,2016-12-06,537437,1,9,0.42,3.82,2016-12
38,0,0,Shop 0,2016-12-06,537439,1,0,4.97,0.0,2016-12
39,0,0,Shop 0,2016-12-06,537442,2,0,4.13,0.0,2016-12
40,0,0,Shop 0,2016-12-06,C537251,4,-12,5.14,-61.72,2016-12
41,0,0,Shop 0,2016-12-07,537534,55,57,4.29,281.5,2016-12
42,0,0,Shop 0,2016-12-07,537621,4,6,3.11,19.49,2016-12
43,0,0,Shop 0,2016-12-07,537633,5,0,6.29,0.0,2016-12
44,0,0,Shop 0,2016-12-07,537637,4,0,6.08,0.0,2016-12
45,0,0,Shop 0,2016-12-07,537638,592,798,3.38,2110.22,2016-12
46,0,0,Shop 0,2016-12-07,537639,1,29,3.86,112.0,2016-12
47,0,0,Shop 0,2016-12-07,537640,140,1412,4.11,4916.07,2016-12
48,0,0,Shop 0,2016-12-07,537641,78,59,5.46,297.34,2016-12
49,0,0,Shop 0,2016-12-07,537642,121,134,5.5,552.49,2016-12
50,0,0,Shop 0,2016-12-07,537643,122,146,5.09,638.58,2016-12
51,0,0,Shop 0,2016-12-07,537645,106,147,5.79,687.55,2016-12
52,0,0,Shop 0,2016-12-07,537654,21,25,4.3,116.96,2016-12
53,0,0,Shop 0,2016-12-07,537666,528,590,3.46,1472.52,2016-12
54,0,0,Shop 0,2016-12-08,537675,1,11,0.62,6.76,2016-12
55,0,0,Shop 0,2016-12-08,537679,5,19,1.86,25.33,2016-12
56,0,0,Shop 0,2016-12-08,537823,580,871,3.37,2211.54,2016-12
57,0,0,Shop 0,2016-12-08,537839,9,0,2.17,0.0,2016-12
58,0,0,Shop 0,2016-12-08,537858,11,4,2.48,9.72,2016-12
59,0,0,Shop 0,2016-12-08,537872,1,0,4.24,0.0,2016-12
60,0,0,Shop 0,2016-12-08,537873,1,0,0.62,0.0,2016-12
61,0,0,Shop 0,2016-12-08,537874,1,0,1.05,0.0,2016-12
62,0,0,Shop 0,2016-12-08,537877,1,0,2.98,0.0,2016-12
63,0,0,Shop 0,2016-12-09,538001,1,9,0.42,3.82,2016-12
64,0,0,Shop 0,2016-12-09,538036,1,33,1.88,61.88,2016-12
65,0,0,Shop 0,2016-12-09,538038,1,7,4.14,28.98,2016-12
66,0,0,Shop 0,2016-12-09,538039,1,6,6.2,37.21,2016-12
67,0,0,Shop 0,2016-12-09,538041,1,29,1.05,30.45,2016-12
68,0,0,Shop 0,2016-12-09,538044,3,13,2.38,27.83,2016-12
69,0,0,Shop 0,2016-12-09,538045,1,26,5.25,136.56,2016-12
70,0,0,Shop 0,2016-12-09,538060,1,2,3.74,7.48,2016-12
71,0,0,Shop 0,2016-12-09,538071,637,925,3.47,2586.38,2016-12
72,0,0,Shop 0,2016-12-09,538096,3,0,1.94,0.0,2016-12
73,0,0,Shop 0,2016-12-09,538127,2,0,3.76,0.0,2016-12
74,0,0,Shop 0,2016-12-09,538128,1,45,0.62,28.12,2016-12
75,0,0,Shop 0,2016-12-09,538129,1,78,1.88,146.25,2016-12
76,0,0,Shop 0,2016-12-09,538130,1,9,1.27,11.43,2016-12
77,0,0,Shop 0,2016-12-09,538131,1,83,0.54,45.1,2016-12
78,0,0,Shop 0,2016-12-09,538132,1,2,1.48,2.95,2016-12
79,0,0,Shop 0,2016-12-09,538134,1,1,0.62,0.62,2016-12
80,0,0,Shop 0,2016-12-09,538135,1,1,1.68,1.68,2016-12
81,0,0,Shop 0,2016-12-09,538136,1,1,1.27,1.27,2016-12
82,0,0,Shop 0,2016-12-09,538139,1,1,0.84,0.84,2016-12
83,0,0,Shop 0,2016-12-09,538140,1,8,2.49,19.95,2016-12
84,0,0,Shop 0,2016-12-09,538141,1,1,2.12,2.12,2016-12
85,0,0,Shop 0,2016-12-09,538143,1,0,0.84,0.0,2016-12
86,0,0,Shop 0,2016-12-09,538148,110,114,5.63,548.99,2016-12
87,0,0,Shop 0,2016-12-09,538149,112,126,6.35,585.95,2016-12
88,0,0,Shop 0,2016-12-09,538153,120,232,4.98,939.07,2016-12
89,0,0,Shop 0,2016-12-09,538154,20,11,4.76,53.53,2016-12
90,0,0,Shop 0,2016-12-10,538177,524,746,3.85,2304.41,2016-12
91,0,0,Shop 0,2016-12-10,538188,1,0,3.7,0.0,2016-12
92,0,0,Shop 0,2016-12-10,538249,1,24,0.42,10.2,2016-12
93,0,0,Shop 0,2016-12-10,538348,1,29,3.86,112.0,2016-12
94,0,0,Shop 0,2016-12-10,538349,602,844,3.53,2397.66,2016-12
95,0,0,Shop 0,2016-12-10,538351,130,1106,4.33,3879.05,2016-12
96,0,0,Shop 0,2016-12-10,538358,6,0,4.07,0.0,2016-12
97,0,0,Shop 0,2016-12-10,538359,1,1,0.42,0.42,2016-12
98,0,0,Shop 0,2016-12-10,538360,1,0,2.72,0.0,2016-12
99,0,0,Shop 0,2016-12-12,538520,3,1,8.94,2.07,2016-12
100,0,0,Shop 0,2016-12-13,538524,478,691,3.55,1796.42,2016-12
101,0,0,Shop 0,2016-12-13,538566,465,554,3.72,1680.76,2016-12
102,0,0,Shop 0,2016-12-13,538627,7,5,2.05,8.02,2016-12
103,0,0,Shop 0,2016-12-13,538649,2,1,9.19,3.69,2016-12
104,0,0,Shop 0,2016-12-13,538666,6,1,2.83,1.46,2016-12
105,0,0,Shop 0,2016-12-13,538678,16,16,3.35,33.84,2016-12
106,0,0,Shop 0,2016-12-14,538724,1,0,5.78,0.0,2016-12
107,0,0,Shop 0,2016-12-14,538778,9,4,4.04,19.91,2016-12
108,0,0,Shop 0,2016-12-14,538867,1,0,5.68,0.0,2016-12
109,0,0,Shop 0,2016-12-14,538873,1,19,3.86,73.38,2016-12
110,0,0,Shop 0,2016-12-14,538877,139,1052,4.12,3436.84,2016-12
111,0,0,Shop 0,2016-12-14,538880,56,32,5.08,78.94,2016-12
112,0,0,Shop 0,2016-12-14,538881,47,32,4.48,142.96,2016-12
113,0,0,Shop 0,2016-12-14,538883,77,71,5.39,275.64,2016-12
114,0,0,Shop 0,2016-12-14,538884,40,21,5.14,57.17,2016-12
115,0,0,Shop 0,2016-12-14,538885,1,2,6.33,12.66,2016-12
116,0,0,Shop 0,2016-12-14,C538686,1,-2,3.46,-6.93,2016-12
117,0,0,Shop 0,2016-12-15,539013,1,2,29.6,59.21,2016-12
118,0,0,Shop 0,2016-12-15,539045,3,22,1.26,27.43,2016-12
119,0,0,Shop 0,2016-12-15,539070,3,22,1.28,27.21,2016-12
120,0,0,Shop 0,2016-12-15,539074,10,1,6.91,1.21,2016-12
121,0,0,Shop 0,2016-12-16,539081,1,0,4.3,0.0,2016-12
122,0,0,Shop 0,2016-12-16,539220,22,3,5.6,26.44,2016-12
123,0,0,Shop 0,2016-12-16,539223,2,0,1.68,0.0,2016-12
124,0,0,Shop 0,2016-12-16,539242,9,35,2.09,35.84,2016-12
